idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs
a kick in the teeth	["If%20you%20get%20a%20kick%20in%20the%20teeth%2C%20something%20bad%20happens%20to%20you%20or%20you%20feel%20that%20you%27ve%20been%20treated%20poorly.",""]	["I%27d%20just%20lost%20my%20job%2C%20so%20hearing%20that%20I%20had%20to%20move%20out%20of%20my%20apartment%20as%20well%20was%20a%20real%20kick%20in%20the%20teeth.","Gerry%20said%20that%20being%20told%20to%20get%20out%20of%20his%20apartment%20was%20a%20kick%20in%20the%20teeth%20after%20spending%20so%20much%20on%20doing%20it%20up."]				body,k	a kick in the teeth
A knight in shining armour	["A%20person%20who%20comes%20to%20the%20aid%20of%20another%20when%20other%20hopes%20have%20faded%2C%20like%20the%20knights%20in%20romantic%20stories."]	["She%20was%20stuck%2C%20out%20of%20petrol%20in%20the%20middle%20of%20the%20moors%20at%20night.%20When%20the%20repair%20man%20turned%20up%20she%20called%20him%20her%20knight%20in%20shining%20armour."]	The United Kingdom. An allusion to the notion of gallant and noble mediaeval knights.	Widespread but not commonly used.	https://www.phrases.org.uk/idioms/audio/a-knight-in-shining-armour.mp3	hyperbole	a knight in shining armour
a knight in shining armour | armor	["If%20someone%20is%20a%20knight%20in%20shining%20armour%2C%20they%20help%20you%20when%20you%20are%20in%20a%20difficult%20situation.",""]	["Jason%20was%20my%20knight%20in%20shining%20armour.%20He%20brought%20food%20and%20newspapers%20every%20day%20until%20I%20got%20better.","People%20thought%20the%20new%20president%20was%20a%20knight%20in%20shining%20armour%2C%20but%20they%20soon%20found%20out%20he%20was%20just%20another%20politician."]				clothing,k	a knight in shining armour,armor
a knuckle sandwich	["If%20you%20give%20someone%20a%20knuckle%20sandwich%2C%20you%20punch%20them.",""]	["If%20you%20say%20that%20again%20you%27ll%20get%20a%20knuckle%20sandwich%21","Simon%20said%20he%27d%20give%20me%20a%20knuckle%20sandwich%20if%20I%20wasn%27t%20careful%2C%20so%20I%20said%20%22Come%20on%20then%2C%20let%27s%20go%20outside%21%22"]				body,food,k	a knuckle sandwich
a law unto themselves	["If%20somebody%20is%20a%20law%20unto%20themselves%2C%20they%20do%20things%20their%20own%20way%20and%20follow%20their%20own%20ideas%20about%20how%20to%20live%20instead%20of%20following%20what%20others%20do.",""]	["Our%20boy%20Billy%20is%20a%20law%20unto%20himself.%20Of%20course%20he%20sometimes%20makes%20mistakes%20and%20gets%20into%20trouble%2C%20but%20we%27re%20proud%20of%20him%20because%20he%20doesn%27t%20just%20follow%20the%20herd.","Our%20boss%20does%20things%20a%20bit%20differently%20to%20most%20other%20managers%2C%20so%20it%27s%20no%20surprise%20that%20some%20people%20say%20he%27s%20a%20law%20unto%20himself."]				l,law	a law unto themselves
A leopard can't change his spots	["You%20cannot%20change%20your%20innate%20self."]	["He%20was%20a%20bully%20at%20school%20and%20he%E2%80%99s%20a%20bully%20now%20-%20a%20leopard%20can%E2%80%99t%20change%20its%20spots."]	Biblical.	Widespread but rather formal form of expression. Not widely used by the young.	https://www.phrases.org.uk/idioms/audio/a-leopard-cant-change-his-spots.mp3	biblical,animals,proverbial,habit	a leopard can't change his spots
A little bird told me	["I%20was%20told%20by%20an%20undisclosed%20source."]	["How%20do%20I%20know%20it%E2%80%99s%20your%20","th%20anniversary%3F%20Well%2C%20a%20little%20bird%20told%20me."]	Biblical.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-little-bird-told-me.mp3	animals	a little bird told me
A load of cobblers	["Nonsense."]	["He%20says%20he%20has%20invented%20a%20perpetual%20motion%20machine%2C%20which%20is%20clearly%20a%20load%20of%20cobblers."]	The United Kingdom.	Widely used, especially in the UK. Slang and borderline swearing - not one for your Grandma.	https://www.phrases.org.uk/idioms/audio/a-load-of-cobblers.mp3	stupidity,cockney_rhyming_slang,nonsense	a load of cobblers
A load of codswallop	["Nonsense."]	["You%20can%E2%80%99t%20keep%20champagne%20fresh%20by%20putting%20a%20spoon%20in%20the%20neck%20of%20the%20bottle%20-%20that%E2%80%99s%20a%20load%20of%20codswallop."]	The United Kingdom.	Mostly used in the UK but known elsewhere too. Mostly used by the older generation.	https://www.phrases.org.uk/idioms/audio/a-load-of-codswallop.mp3	stupidity,nonsense	a load of codswallop
A lot on your plate	["Having%20many%20responsibilities."]	["Your%20Mom%20dying%20just%20when%20you%20were%20moving%20house%20and%20being%20made%20redundant.%20You%20certainly%20have%20a%20lot%20on%20your%20plate."]	The United Kingdom.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-lot-on-your-plate.mp3	food	a lot on your plate
A man after my own heart	["A%20kindred%20spirit.%20Someone%20who%20thinks%20as%20I%20do."]	["We%E2%80%99ve%20both%20supported%20Manchester%20United%20since%20we%20were%20kids.%20You%20could%20say%20he%20was%20a%20man%20after%20my%20own%20heart."]	Biblical.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-man-after-my-own-heart.mp3	the_human_body,agreement	a man after my own heart
a matter of life and death	["If%20something%20is%20a%20matter%20of%20life%20and%20death%2C%20it%27s%20extremely%20important%20and%20it%20could%20involve%20someone%27s%20survival.",""]	["Education%20about%20HIV%20and%20AIDS%20is%20a%20matter%20of%20life%20and%20death.%20If%20people%20aren%27t%20told%20to%20protect%20themselves%20with%20condoms%2C%20they%20could%20die%20from%20the%20disease.","Getting%20someone%20to%20hospital%20quickly%20after%20an%20accident%20or%20a%20heart%20attack%20is%20a%20matter%20of%20life%20and%20death.%20Just%20a%20few%20minutes%20can%20make%20all%20the%20difference."]				death,m	a matter of life and death
a means to an end	["You%20can%20say%20something%20is%20a%20means%20to%20an%20end%20if%20it%27s%20the%20way%20to%20reach%20a%20goal%2C%20or%20the%20way%20to%20achieve%20something.",""]	["Rupert%20plays%20golf%2C%20but%20he%20doesn%27t%20really%20enjoy%20it.%20It%27s%20just%20a%20means%20to%20an%20end%20for%20him%20because%20so%20much%20business%20is%20done%20on%20the%20golf%20course%20these%20days.","The%20medical%20school%20interviews%20all%20candidates%20and%20tries%20to%20weed%20out%20people%20for%20whom%20becoming%20a%20doctor%20is%20just%20a%20means%20to%20an%20end.%20They%20don%27t%20want%20people%20whose%20real%20goal%20is%20making%20money."]				m	a means to an end
A miss is as good as a mile	["Some%20endeavours%20either%20succeed%20or%20they%20don%E2%80%99t%20-%20to%20miss%20narrowly%20is%20still%20failure."]	["He%20came%20within%20a%20millimetre%20of%20breaking%20the%20high%20jump%20records.%20Sadly%2C%20a%20miss%20is%20as%20good%20as%20a%20mile."]	USA.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-miss-is-as-good-as-a-mile.mp3	location,proverbial,america	a miss is as good as a mile
a mixed blessing	["You%20can%20say%20something%20is%20a%20mixed%20blessing%20if%20it%20seems%20to%20be%20good%2C%20but%20in%20fact%20has%20bad%20effects%20as%20well%20as%20good%20effects.",""]	["Many%20scientists%20said%20discovering%20the%20power%20of%20the%20atom%20was%20a%20mixed%20blessing%20as%20it%20led%20to%20nuclear%20power%2C%20but%20it%20also%20made%20nuclear%20weapons%20possible.","Getting%20the%20promotion%20was%20a%20mixed%20blessing%20because%20it%20means%20I%20spend%20less%20time%20with%20my%20family."]				m	a mixed blessing
a narrow escape	["If%20you%20have%20a%20narrow%20escape%2C%20you%20survive%20a%20dangerous%20situation%2C%20but%20only%20just.",""]	["He%20had%20a%20narrow%20escape%20when%20he%20fell%20off%20his%20motorbike.%20If%20he%27d%20fallen%20off%20a%20second%20earlier%2C%20he%20would%20have%20been%20killed%20by%20the%20truck%20that%20had%20just%20passed%20by.","Ken%20nearly%20lost%20all%20his%20money%20in%20the%20stock%20market%20crash%2C%20but%20he%20made%20a%20narrow%20escape%20thanks%20to%20a%20friend%20who%20told%20him%20to%20sell%20off%20his%20shares%20the%20day%20before%20it%20happened."]				n	a narrow escape
a necessary evil	["If%20you%20say%20something%20is%20a%20necessary%20evil%2C%20you%20don%27t%20like%20it%20but%20you%20understand%20that%20it%20has%20to%20be%20accepted%20sometimes%20or%20it%20has%20to%20exist.",""]	["Sandra%20says%20money%27s%20a%20necessary%20evil.%20She%20thinks%20it%20causes%20many%20problems%2C%20but%20she%20can%27t%20imagine%20how%20the%20world%20could%20work%20without%20it.","My%20brother%20regards%20exercise%20as%20a%20necessary%20evil.%20He%20hates%20doing%20it%2C%20but%20he%20knows%20he%20has%20to%20do%20it%20if%20he%20wants%20to%20stay%20healthy."]				n	a necessary evil
a nest egg	["If%20you%20have%20a%20nest%20egg%2C%20you%20have%20money%20put%20away%20for%20the%20future.",""]	["When%20Indira%20inherited%20some%20money%20from%20her%20grandpa%2C%20she%20didn%27t%20spend%20it.%20She%20decided%20it%20was%20time%20she%20had%20a%20nest%20egg%20so%20she%20put%20it%20into%20an%20investment%20fund.","Poor%20old%20Bill.%20He%20married%20a%20girl%20while%20he%20was%20in%20some%20foreign%20country%20and%20she%20got%20her%20hands%20on%20his%20nest%20egg%2C%20and%20now%20he%27s%20back%20here%20-%20with%20nothing."]				money,n	a nest egg
a new lease of life	["If%20someone%20has%20a%20new%20lease%20of%20life%2C%20they%20have%20a%20new%20enthusiasm%20for%20living.",""]	["After%20recovering%20from%20her%20illness%2C%20Kathy%20had%20a%20new%20lease%20of%20life%20and%20made%20lots%20of%20plans%20for%20the%20future.","When%20my%20uncle%20quit%20drinking%20it%20gave%20him%20a%20new%20lease%20of%20life%20and%20he%20started%20doing%20things%20he%20hadn%27t%20done%20for%20years."]				british,health,n	a new lease of life
a new lease on life	["If%20someone%20has%20a%20new%20lease%20on%20life%2C%20they%20have%20a%20new%20enthusiasm%20for%20living.",""]	["After%20recovering%20from%20her%20illness%2C%20Kathy%20had%20a%20new%20lease%20on%20life%20and%20made%20lots%20of%20plans%20for%20the%20future.","When%20my%20uncle%20quit%20drinking%20it%20gave%20him%20a%20new%20lease%20on%20life%20and%20he%20started%20doing%20things%20he%20hadn%27t%20done%20for%20years."]				american,n	a new lease on life
a night on the town | out on the town	["If%20you%20have%20a%20night%20on%20the%20town%2C%20or%20go%20out%20on%20the%20town%2C%20you%20go%20out%20for%20dinner%20and%20then%20go%20to%20a%20show%20or%20a%20dance%20club%20or%20some%20other%20entertainment%20venue.",""]	["Let%27s%20go%20out%20for%20a%20night%20on%20the%20town.%20We%20haven%27t%20been%20out%20for%20ages.","It%27s%20quite%20common%20for%20businessmen%20to%20take%20their%20colleagues%20out%20on%20the%20town."]				n,structures	a night on the town,out on the town
a night owl	["You%27re%20a%20night%20owl%20if%20you%20like%20to%20stay%20up%20and%20do%20things%20late%20at%20night.",""]	["She%27s%20always%20been%20a%20night%20owl.%20Even%20when%20she%20was%20a%20student%20she%27d%20study%20late%20at%20night%20and%20get%20up%20as%20late%20as%20possible%20the%20next%20day.","I%20don%27t%20know%20why%20I%27m%20a%20night%20owl.%20I%20just%20seem%20more%20alert%20at%20night%2C%20and%20even%20if%20I%20go%20to%20bed%20early%20I%20can%27t%20get%20to%20sleep%20till%20about%203%20in%20the%20morning."]	Metaphorical idiom related to the fact that owls are nocturnal birds that are active at night.			animals,n	a night owl
a one-track mind	["If%20someone%20has%20a%20one-track%20mind%2C%20they%20spend%20most%20of%20their%20time%20thinking%20about%20one%20subject.",""]	["Brian%27s%20had%20a%20one-track%20mind%20since%20he%20started%20his%20own%20company.%20All%20he%20thinks%20about%20now%20is%20business%20and%20making%20money.","Mark%27s%20upset%20because%20Jenny%20said%20he%27s%20got%20a%20one-track%20mind%20and%20he%27s%20always%20thinking%20about%20sex."]				numbers,o	a one-track mind
a pain in the neck	["You%20can%20say%20someone%20is%20a%20pain%20in%20the%20neck%20if%20they%20annoy%20you%2C%20or%20something%20is%20a%20pain%20in%20the%20neck%20if%20you%20don%27t%20like%20doing%20it.",""]	["Lenny%27s%20being%20a%20pain%20in%20the%20neck%20today.%20He%20keeps%20interrupting%20me%20while%20I%27m%20trying%20to%20work.","It%27s%20a%20real%20pain%20in%20the%20neck%20when%20you%27re%20trying%20to%20get%20some%20sleep%20on%20the%20train%20and%20people%20keep%20shouting%20into%20their%20mobile%20phones%20all%20around%20you."]				body,health,p	a pain in the neck
a pat on the back	["You%27ve%20given%20someone%20a%20pat%20on%20the%20back%20if%20you%27ve%20told%20them%20they%27ve%20done%20something%20well%2C%20or%20done%20a%20good%20job.",""]	["Don%27t%20you%20think%20Salim%20deserves%20a%20pat%20on%20the%20back%20for%20his%20report%3F%20Why%20don%27t%20you%20tell%20him%20it%20was%20excellent%20work%3F","Our%20boss%20doesn%27t%20often%20praise%20us%20for%20our%20work%2C%20so%20if%20he%20gives%20you%20a%20pat%20on%20the%20back%20for%20something%2C%20you%27ve%20really%20earned%20it."]				body,p	a pat on the back
A penny for your thoughts	["A%20way%20of%20asking%20what%20someone%20is%20thinking."]	["You%E2%80%99ve%20been%20gazing%20out%20the%20window%20with%20a%20wistful%20look%20for%20ages.%20A%20penny%20for%20your%20thoughts%3F"]	The United Kingdom - 16th century.	Most common in Britain (although we don't use pennies here any longer).	https://www.phrases.org.uk/idioms/audio/a-penny-for-your-thoughts.mp3	money	a penny for your thoughts
A penny saved is a penny earned	["Anything%20you%20save%20has%20the%20same%20effect%20as%20adding%20to%20your%20income."]	["I%20put%20all%20my%20small%20change%20into%20a%20jar%20every%20day.%20It%E2%80%99s%20not%20much%2C%20but%20a%20penny%20saved%20is%20a%20penny%20earned."]	The United Kingdom - 17th century.	Worldwide, but uncommon.	https://www.phrases.org.uk/idioms/audio/a-penny-saved-is-a-penny-earned.mp3	money,work	a penny saved is a penny earned
A picture paints a thousand words	["Pictures%20are%20far%20more%20descriptive%20than%20words."]	["I%20tried%20to%20describe%20that%20fantastic%20sunset%20and%20then%20she%20just%20showed%20them%20a%20photo.%20You%20know%20it%E2%80%99s%20true%20-%20a%20picture%20paints%20a%20thousand%20words."]	USA.	A very widely and commonly used proverb/adage.	https://www.phrases.org.uk/idioms/audio/a-picture-paints-a-thousand-words.mp3	language,number,adage,america	a picture paints a thousand words
A piece of cake	["A%20task%20that%20can%20be%20accomplished%20very%20easily.","If%20you%20say%20that%20something%20is%20a%20piece%20of%20cake%2C%20you%20mean%20that%20it%20is%20extremely%20easy."]	["Jumping%20that%20two-foot%20fence%3F%20No%20problem%20-%20a%20piece%20of%20cake.","I%20finished%20my%20exam%2030%20minutes%20early.%20It%20was%20a%20piece%20of%20cake%21","Compared%20to%20learning%20Japanese%2C%20learning%20Indonesian%20was%20a%20piece%20of%20cake.%20It%27s%20a%20much%20simpler%20language."]	USA.	Very widely and commonly used, to the point of being considered a cliche.	https://www.phrases.org.uk/idioms/audio/a-piece-of-cake.mp3	food,cliche,america,british,food,p	a piece of cake
A pig in a poke	["A%20commodity%20that%20is%20bought%20without%20first%20examining%20it."]	["Jim%20said%20that%20car%20was%20a%20good%20buy%20so%20I%20bid%20for%20it%20on%20eBay%20and%20it%20turned%20out%20to%20be%20a%20real%20rust%20bucket.%20That%E2%80%99s%20what%20you%20get%20for%20buying%20a%20pig%20in%20a%20poke."]	The United Kingdom. An old expression that exists in various forms in many languages.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-pig-in-a-poke.mp3	animals,trickery	a pig in a poke
a pipe dream	["A%20pipe%20dream%20is%20a%20plan%20or%20a%20dream%20for%20the%20future%20that%20could%20never%20come%20true%20or%20be%20achieved.",""]	["The%20idea%20of%20a%20perfect%20world%20in%20which%20everyone%20lives%20in%20peace%20and%20harmony%20is%20just%20a%20pipe%20dream.","Pipe%20dreams%20only%20ever%20come%20true%20in%20the%20movies."]	Metaphorical, and probably related to the fact that the drug opium can be smoked in a pipe, and when it is taken people often have very pleasant, dream-like experiences.			p	a pipe dream
A place in the sun	["An%20idealistic%20dream%20of%20a%20sunny%20hideaway."]	["We%E2%80%99ve%20been%20lucky%2C%20we%20managed%20to%20buy%20ourselves%20a%20place%20in%20the%20sun%20for%20our%20retirement."]	The United Kingdom, early 20th century. An allusion to a literal pleasant retirement location.	Worldwide, not not common.	https://www.phrases.org.uk/idioms/audio/a-place-in-the-sun.mp3	location,happiness	a place in the sun
a quantum leap	["A%20quantum%20leap%20is%20a%20major%20step%20in%20the%20development%20of%20something%2C%20or%20in%20the%20improvement%20of%20something.",""]	["The%20discovery%20of%20penicillin%20was%20a%20quantum%20leap%20in%20the%20treatment%20of%20bacterial%20infections.","The%20election%20of%20an%20African-American%20president%20amounted%20to%20a%20quantum%20leap%20forward%20for%20racial%20equality."]				q	a quantum leap
